date,ILITOTAL,NUM. OF PROVIDERS,OT,h,c
4/5/2021,18100,3277,1679101,4,13091
4/12/2021,19165,3282,1728295,3,9509
4/19/2021,19305,3248,1678407,2,7786
4/26/2021,20099,3256,1698411,3,6824
5/3/2021,19930,3227,1648268,0,5179
5/10/2021,20367,3214,1623366,0,4245
5/17/2021,21262,3193,1683010,0,3409
5/24/2021,19675,3141,1652047,0,3212
5/31/2021,20143,3140,1609033,0,2151
6/7/2021,19182,3110,1674977,0,0
6/14/2021,19579,3068,1656791,0,0
6/21/2021,19890,3057,1643793,0,0
6/28/2021,20092,3055,1656615,0,0
7/5/2021,22371,3055,1683237,0,0
7/12/2021,25261,3067,1750965,0,0
7/19/2021,30545,3067,1787028,0,0
7/26/2021,35195,3050,1842048,0,0
8/2/2021,37756,3050,1839909,0,0
8/9/2021,40067,3042,1858843,0,124086
8/16/2021,42721,3029,1852756,0,400581
8/23/2021,43058,3028,1865986,0,577868
8/30/2021,40864,3027,1814136,0,1242329
9/6/2021,39421,3021,1781535,0,2181830
9/13/2021,36193,3059,1805463,0,3908141
9/20/2021,33976,3037,1753523,0,5101603
9/27/2021,29949,2877,1624427,0,6439248
10/4/2021,39535,3501,2007349,6,7319617
10/11/2021,37638,3510,1973726,12,7262223
10/18/2021,35714,3474,1918176,9,6303992
10/25/2021,36639,3509,1934723,9,5265345
11/1/2021,40030,3515,1917361,8,4392678
11/8/2021,44163,3530,1980931,17,3584037
11/15/2021,47076,3526,1997393,24,3172924
11/22/2021,43324,3519,1762089,46,1967965
11/29/2021,52729,3545,2056903,79,2297514
12/6/2021,55069,3544,2025745,125,1956652
12/13/2021,62545,3518,2018736,173,1663988
12/20/2021,79225,3496,1942424,211,1159723
12/27/2021,113862,3455,2246237,282,839205
1/3/2022,93262,3487,2178681,184,852642
1/10/2022,69183,3499,2025389,119,781824
1/17/2022,48498,3503,1811003,75,542935
1/24/2022,34810,3485,1760073,47,459665
1/31/2022,25831,3415,1654872,53,355718
2/7/2022,23731,3474,1763832,54,305900
2/14/2022,23946,3474,1746795,65,235064
2/21/2022,23609,3472,1722955,83,181914
2/28/2022,25801,3470,1813130,103,128896
3/7/2022,28077,3485,1815133,120,97850
3/14/2022,31359,3454,1867926,181,76634
3/21/2022,32423,3449,1869370,209,60305
3/28/2022,34822,3443,1877580,280,50282
4/4/2022,38144,3453,1912899,312,33877
4/11/2022,40966,3446,1923613,316,24981
4/18/2022,42086,3457,1927635,350,17199
4/25/2022,43420,3426,1960190,360,14573
5/2/2022,47799,3394,1979830,320,10861
5/9/2022,52025,3376,1994121,301,8846
5/16/2022,54081,3414,2076569,223,7956
5/23/2022,52385,3351,1963229,187,6582
5/30/2022,51863,3345,1959711,141,3538
6/6/2022,45240,3342,1972714,94,0
6/13/2022,40250,3302,1940597,0,0
6/20/2022,37830,3355,1972297,0,0
6/27/2022,34566,3237,1918113,0,0
7/4/2022,34983,3345,1951013,0,0
7/11/2022,33011,3313,1978256,0,0
7/18/2022,32611,3313,1977461,0,0
7/25/2022,32040,3289,1944189,0,0
8/1/2022,29641,3305,1938338,0,0
8/8/2022,28642,3198,1887562,0,121922
8/15/2022,31572,3293,1949894,0,272793
8/22/2022,35787,3280,1975601,0,444206
8/29/2022,37513,3260,1978914,0,949545
9/5/2022,38334,3290,1966513,0,2165580
9/12/2022,39838,3322,2017799,0,3875981
9/19/2022,44726,3334,2033022,0,4747216
9/26/2022,46321,3353,2015431,0,5371693
10/3/2022,57318,3684,2209814,123,6445746
10/10/2022,63388,3720,2223106,162,6981415
10/17/2022,75615,3726,2279700,272,6813313
10/24/2022,109496,3788,2462467,513,6227665
10/31/2022,139247,3776,2510305,726,5034108
11/7/2022,140055,3793,2468962,945,3988602
11/14/2022,137419,3777,2396019,1140,3380034
11/21/2022,164936,3765,2237505,2039,1903632
11/28/2022,185673,3767,2564503,2544,2070514
12/5/2022,167248,3750,2448985,2148,2003375
12/12/2022,151672,3751,2347026,1872,1725513
12/19/2022,129978,3715,2116491,1641,1146297
12/26/2022,112531,3703,2058533,1516,630200
1/2/2023,92034,3740,2257219,872,570148
1/9/2023,67720,3737,2214718,376,557603
1/16/2023,57770,3730,2134322,233,395087
1/23/2023,58231,3716,2179097,133,326543
1/30/2023,59326,3734,2208786,127,262817
2/6/2023,62258,3735,2301891,102,223472
2/13/2023,59665,3695,2262519,89,172835
2/20/2023,57223,3719,2212367,81,136501
2/27/2023,55682,3725,2278801,70,115415
3/6/2023,54686,3722,2274369,74,92916
3/13/2023,54263,3713,2228243,74,75190
3/20/2023,55394,3665,2295244,80,60675
3/27/2023,53342,3688,2270922,73,47484
4/3/2023,48355,3680,2191695,70,28471
4/10/2023,46725,3665,2254413,61,20463
4/17/2023,44507,3680,2277306,59,14238
4/24/2023,44802,3677,2270577,50,11552
5/1/2023,45582,3652,2259439,0,7590
5/8/2023,45769,3654,2295923,0,5769
5/15/2023,43287,3653,2201602,0,4518
5/22/2023,41516,3518,2169098,0,3640
5/29/2023,41589,3601,2145684,0,2564
6/5/2023,36939,3583,2182091,0,0
6/12/2023,33880,3589,2151633,0,0
6/19/2023,30889,3582,2139112,0,0
6/26/2023,28486,3539,2151758,0,0
7/3/2023,26648,3569,2064286,0,0
7/10/2023,25903,3542,2155400,0,0
7/17/2023,25802,3560,2163359,0,0
7/24/2023,26417,3551,2146245,0,0
7/31/2023,26896,3542,2132922,0,0
8/7/2023,29313,3521,2156467,0,193014
8/14/2023,33663,3533,2186399,0,330861
8/21/2023,40979,3524,2243946,0,566447
8/28/2023,44411,3537,2245988,0,1002954
9/4/2023,44734,3538,2209523,0,1945195
9/11/2023,45287,3558,2274050,0,3281344
9/18/2023,48265,3558,2261308,0,4671825
9/25/2023,49269,3552,2260617,0,5515828
10/2/2023,56312,4131,2491762,62,6256341
10/9/2023,57524,4152,2486632,73,6107715
10/16/2023,62503,4137,2484780,79,5545284
10/23/2023,67635,4162,2521937,78,4934631
10/30/2023,72231,4157,2478529,141,4029660
11/6/2023,85459,4153,2568065,234,3368519
11/13/2023,90948,4156,2544050,286,2845464
11/20/2023,85524,4169,2256510,416,1671876
11/27/2023,103712,4142,2617331,645,2014485
12/4/2023,114141,4106,2619296,890,1699543
12/11/2023,135998,4122,2610448,1270,1398420
12/18/2023,163265,4093,2586088,2050,1161054
12/25/2023,166750,4084,2413892,2719,626855
1/1/2024,143938,4112,2497395,2121,727546
1/8/2024,118459,4110,2491092,1657,730219
1/15/2024,100098,4121,2299985,1282,492683
1/22/2024,105571,4145,2498648,1208,444223
1/29/2024,107922,4127,2521568,1077,359348
2/5/2024,112968,4130,2566444,1070,285000
2/12/2024,108366,4118,2498912,1024,205667
2/19/2024,107566,4111,2486951,1021,145512
2/26/2024,104864,4110,2569164,1018,126178
3/4/2024,94742,4114,2537260,824,109727
3/11/2024,84963,4053,2498228,658,89833
3/18/2024,78618,4106,2492206,574,75188
3/25/2024,73845,4099,2433678,532,56251
4/1/2024,68526,4074,2418470,508,31991
4/8/2024,64449,4088,2485371,385,21864
4/15/2024,57522,4074,2505816,284,18117
4/22/2024,55413,4047,2467989,208,15386
4/29/2024,53519,4001,2493255,139,13213
5/6/2024,50457,4048,2471221,116,8509
5/13/2024,49254,4002,2423948,90,6825
5/20/2024,47562,3962,2429017,84,4496
5/27/2024,44766,3951,2328772,82,2851
6/3/2024,41248,3923,2388904,65,0
6/10/2024,37720,3916,2348396,50,0
6/17/2024,35781,3914,2320335,64,0
6/24/2024,35208,3861,2352786,47,0
7/1/2024,32093,3889,2217551,52,0
7/8/2024,34982,3876,2415173,52,0
7/15/2024,33474,3859,2336121,34,0
7/22/2024,34749,3887,2307921,26,0
7/29/2024,34935,3889,2334775,18,0
8/5/2024,34912,3839,2312831,32,169924
8/12/2024,35347,3721,2290608,30,305587
